condition,metric,n_models,mean,sd
P6 monomer,Disorder score (RSA-25),5,0.3051842307692308,0.023629009764288233
P6 monomer,IDR-binding score,5,0.30665615384615386,0.025193883369690404
P6 monomer,1 - pLDDT,5,0.3895523076923077,0.00392158493499337
P6 dimer,Disorder score (RSA-25),5,0.3162673076923077,0.026912201658270456
P6 dimer,IDR-binding score,5,0.31882692307692306,0.03146043566309416
P6 dimer,1 - pLDDT,5,0.43049884615384615,0.002478104039417539
P6-dsRNA,Disorder score (RSA-25),5,0.32537961538461535,0.03837763025963713
P6-dsRNA,IDR-binding score,5,0.3296386538461539,0.04161489036546219
P6-dsRNA,1 - pLDDT,5,0.4833201923076923,0.003975438703880822
P6-TOR,Disorder score (RSA-25),5,0.2931130769230769,0.012206743448352856
P6-TOR,IDR-binding score,5,0.2976328846153846,0.014490217420300277
P6-TOR,1 - pLDDT,5,0.41696634615384615,0.003337655543435737
P6IDR-dsRNA,Disorder score (RSA-25),5,0.31501041257367385,0.015366120569891827
P6IDR-dsRNA,IDR-binding score,5,0.31954322200392926,0.019821383436717323
P6IDR-dsRNA,1 - pLDDT,5,0.5033752455795678,0.005469915299774025
