condition,model,chain,metric,mean_score
P6 monomer,0,A,Disorder score (RSA-25),0.2864288461538462
P6 monomer,0,A,IDR-binding score,0.2873346153846154
P6 monomer,0,A,1 - pLDDT,0.3937576923076923
P6 monomer,1,A,Disorder score (RSA-25),0.33845384615384616
P6 monomer,1,A,IDR-binding score,0.3428288461538462
P6 monomer,1,A,1 - pLDDT,0.3878884615384615
P6 monomer,2,A,Disorder score (RSA-25),0.27938653846153844
P6 monomer,2,A,IDR-binding score,0.27938653846153844
P6 monomer,2,A,1 - pLDDT,0.38475
P6 monomer,3,A,Disorder score (RSA-25),0.3060557692307692
P6 monomer,3,A,IDR-binding score,0.3064230769230769
P6 monomer,3,A,1 - pLDDT,0.38790384615384615
P6 monomer,4,A,Disorder score (RSA-25),0.31559615384615386
P6 monomer,4,A,IDR-binding score,0.3173076923076923
P6 monomer,4,A,1 - pLDDT,0.3934615384615385
P6 dimer,0,A,Disorder score (RSA-25),0.352125
P6 dimer,0,A,IDR-binding score,0.3651826923076923
P6 dimer,0,A,1 - pLDDT,0.4270596153846154
P6 dimer,0,B,Disorder score (RSA-25),0.35315
P6 dimer,0,B,IDR-binding score,0.3656884615384615
P6 dimer,0,B,1 - pLDDT,0.4268769230769231
P6 dimer,1,A,Disorder score (RSA-25),0.3368596153846154
P6 dimer,1,A,IDR-binding score,0.3368596153846154
P6 dimer,1,A,1 - pLDDT,0.43272307692307693
P6 dimer,1,B,Disorder score (RSA-25),0.33629807692307695
P6 dimer,1,B,IDR-binding score,0.33629807692307695
P6 dimer,1,B,1 - pLDDT,0.43256153846153844
P6 dimer,2,A,Disorder score (RSA-25),0.2909846153846154
P6 dimer,2,A,IDR-binding score,0.2909846153846154
P6 dimer,2,A,1 - pLDDT,0.4307730769230769
P6 dimer,2,B,Disorder score (RSA-25),0.28991923076923076
P6 dimer,2,B,IDR-binding score,0.28991923076923076
P6 dimer,2,B,1 - pLDDT,0.4303903846153846
P6 dimer,3,A,Disorder score (RSA-25),0.30403653846153844
P6 dimer,3,A,IDR-binding score,0.30403653846153844
P6 dimer,3,A,1 - pLDDT,0.4330230769230769
P6 dimer,3,B,Disorder score (RSA-25),0.3037826923076923
P6 dimer,3,B,IDR-binding score,0.3037826923076923
P6 dimer,3,B,1 - pLDDT,0.432925
P6 dimer,4,A,Disorder score (RSA-25),0.2975903846153846
P6 dimer,4,A,IDR-binding score,0.2975903846153846
P6 dimer,4,A,1 - pLDDT,0.4294480769230769
P6 dimer,4,B,Disorder score (RSA-25),0.2979269230769231
P6 dimer,4,B,IDR-binding score,0.2979269230769231
P6 dimer,4,B,1 - pLDDT,0.4292076923076923
P6-dsRNA,0,A,Disorder score (RSA-25),0.37370192307692307
P6-dsRNA,0,A,IDR-binding score,0.3822826923076923
P6-dsRNA,0,A,1 - pLDDT,0.4887115384615385
P6-dsRNA,0,B,Disorder score (RSA-25),0.3720557692307692
P6-dsRNA,0,B,IDR-binding score,0.3805326923076923
P6-dsRNA,0,B,1 - pLDDT,0.4822519230769231
P6-dsRNA,1,A,Disorder score (RSA-25),0.34686730769230767
P6-dsRNA,1,A,IDR-binding score,0.3526326923076923
P6-dsRNA,1,A,1 - pLDDT,0.4859423076923077
P6-dsRNA,1,B,Disorder score (RSA-25),0.34568653846153846
P6-dsRNA,1,B,IDR-binding score,0.35394615384615385
P6-dsRNA,1,B,1 - pLDDT,0.48762307692307694
P6-dsRNA,2,A,Disorder score (RSA-25),0.28802307692307694
P6-dsRNA,2,A,IDR-binding score,0.29073269230769233
P6-dsRNA,2,A,1 - pLDDT,0.48662884615384616
P6-dsRNA,2,B,Disorder score (RSA-25),0.2869557692307692
P6-dsRNA,2,B,IDR-binding score,0.2887
P6-dsRNA,2,B,1 - pLDDT,0.4759269230769231
P6-dsRNA,3,A,Disorder score (RSA-25),0.28215961538461537
P6-dsRNA,3,A,IDR-binding score,0.28215961538461537
P6-dsRNA,3,A,1 - pLDDT,0.4770346153846154
P6-dsRNA,3,B,Disorder score (RSA-25),0.28715192307692305
P6-dsRNA,3,B,IDR-binding score,0.2875096153846154
P6-dsRNA,3,B,1 - pLDDT,0.4775423076923077
P6-dsRNA,4,A,Disorder score (RSA-25),0.3348923076923077
P6-dsRNA,4,A,IDR-binding score,0.3387788461538462
P6-dsRNA,4,A,1 - pLDDT,0.4860653846153846
P6-dsRNA,4,B,Disorder score (RSA-25),0.3363019230769231
P6-dsRNA,4,B,IDR-binding score,0.33911153846153846
P6-dsRNA,4,B,1 - pLDDT,0.485475
P6-TOR,0,A,Disorder score (RSA-25),0.28402115384615384
P6-TOR,0,A,IDR-binding score,0.2858346153846154
P6-TOR,0,A,1 - pLDDT,0.4225615384615385
P6-TOR,0,B,Disorder score (RSA-25),0.2746653846153846
P6-TOR,0,B,IDR-binding score,0.2746653846153846
P6-TOR,0,B,1 - pLDDT,0.4202980769230769
P6-TOR,1,A,Disorder score (RSA-25),0.2891442307692308
P6-TOR,1,A,IDR-binding score,0.294775
P6-TOR,1,A,1 - pLDDT,0.4161673076923077
P6-TOR,1,B,Disorder score (RSA-25),0.2736153846153846
P6-TOR,1,B,IDR-binding score,0.2765365384615385
P6-TOR,1,B,1 - pLDDT,0.4151903846153846
P6-TOR,2,A,Disorder score (RSA-25),0.2970865384615385
P6-TOR,2,A,IDR-binding score,0.30038076923076923
P6-TOR,2,A,1 - pLDDT,0.4120826923076923
P6-TOR,2,B,Disorder score (RSA-25),0.2976076923076923
P6-TOR,2,B,IDR-binding score,0.2976076923076923
P6-TOR,2,B,1 - pLDDT,0.4136596153846154
P6-TOR,3,A,Disorder score (RSA-25),0.28304423076923074
P6-TOR,3,A,IDR-binding score,0.285475
P6-TOR,3,A,1 - pLDDT,0.41452692307692307
P6-TOR,3,B,Disorder score (RSA-25),0.31743269230769233
P6-TOR,3,B,IDR-binding score,0.3368576923076923
P6-TOR,3,B,1 - pLDDT,0.41692307692307695
P6-TOR,4,A,Disorder score (RSA-25),0.32529423076923075
P6-TOR,4,A,IDR-binding score,0.33497692307692306
P6-TOR,4,A,1 - pLDDT,0.41889423076923077
P6-TOR,4,B,Disorder score (RSA-25),0.2892192307692308
P6-TOR,4,B,IDR-binding score,0.2892192307692308
P6-TOR,4,B,1 - pLDDT,0.41935961538461536
P6IDR-dsRNA,0,A,Disorder score (RSA-25),0.29603732809430255
P6IDR-dsRNA,0,A,IDR-binding score,0.29603732809430255
P6IDR-dsRNA,0,A,1 - pLDDT,0.5025206286836935
P6IDR-dsRNA,0,B,Disorder score (RSA-25),0.2955717092337917
P6IDR-dsRNA,0,B,IDR-binding score,0.2955717092337917
P6IDR-dsRNA,0,B,1 - pLDDT,0.5080058939096267
P6IDR-dsRNA,1,A,Disorder score (RSA-25),0.3144027504911591
P6IDR-dsRNA,1,A,IDR-binding score,0.31597642436149315
P6IDR-dsRNA,1,A,1 - pLDDT,0.4971827111984283
P6IDR-dsRNA,1,B,Disorder score (RSA-25),0.32739292730844793
P6IDR-dsRNA,1,B,IDR-binding score,0.33956974459724953
P6IDR-dsRNA,1,B,1 - pLDDT,0.4949901768172888
P6IDR-dsRNA,2,A,Disorder score (RSA-25),0.3059332023575638
P6IDR-dsRNA,2,A,IDR-binding score,0.3059332023575638
P6IDR-dsRNA,2,A,1 - pLDDT,0.5036817288801572
P6IDR-dsRNA,2,B,Disorder score (RSA-25),0.3055500982318271
P6IDR-dsRNA,2,B,IDR-binding score,0.3055500982318271
P6IDR-dsRNA,2,B,1 - pLDDT,0.500721021611002
P6IDR-dsRNA,3,A,Disorder score (RSA-25),0.33713948919449904
P6IDR-dsRNA,3,A,IDR-binding score,0.34912770137524557
P6IDR-dsRNA,3,A,1 - pLDDT,0.5028742632612967
P6IDR-dsRNA,3,B,Disorder score (RSA-25),0.3354656188605108
P6IDR-dsRNA,3,B,IDR-binding score,0.34457760314341845
P6IDR-dsRNA,3,B,1 - pLDDT,0.5015068762278978
P6IDR-dsRNA,4,A,Disorder score (RSA-25),0.31911001964636543
P6IDR-dsRNA,4,A,IDR-binding score,0.327
P6IDR-dsRNA,4,A,1 - pLDDT,0.5126561886051081
P6IDR-dsRNA,4,B,Disorder score (RSA-25),0.3135009823182711
P6IDR-dsRNA,4,B,IDR-binding score,0.3160884086444008
P6IDR-dsRNA,4,B,1 - pLDDT,0.5096129666011788
